item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_order_frequency,item_quantity_order_mean,item_quantity_order_std,item_quantity_order_total,item_class,item_initial_quantity_inventory,max_fit
10000001001,可口可樂Zero 600ml,45.0,30.0,24.0,32400.0,15.7,24.0,1350.0,PCS,2539.0,6.047619047619047,8.87398552216641,2631.0,B,21,12480
10000002001,可口可樂2L,34.0,23.0,31.0,24242.0,13.31,6.0,4040.3,PCS,2384.0,23.0,17.06165290937546,10173.0,B,52,200
10000003001,百事可樂330ml,40.0,27.0,12.0,12960.0,9.11,24.0,540.0,PCS,1889.0,31.42857142857143,18.18947890559658,3240.0,B,62,30160
10000004001,百事可樂2L,34.0,23.0,31.0,24242.0,14.0,6.0,4040.3,PCS,1469.0,1.380952380952381,2.201730920802778,2464.0,C,5,200
10000005001,可口可樂330ml,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,PCS,1381.0,101.4285714285714,71.59648834165782,2251.0,B,220,29000
10000006001,Dr. Pepper 可樂,40.0,13.0,13.0,6760.0,4.69,12.0,563.3,PCS,1289.0,0.6190476190476191,1.802115159366639,10656.0,C,3,7290
10000007001,可口可樂 Zero 330ml,40.0,28.0,12.0,13440.0,8.58,24.0,560.0,PCS,1244.0,70.57142857142857,27.94382119283515,2148.0,A,136,29000
10000010001,可口可樂 Zero 2L,34.0,23.0,31.0,24242.0,12.52,6.0,4040.3,PCS,1073.0,5.857142857142857,3.940630841448033,1630.0,B,13,200
10000012001,可口可樂Pet 600ml,45.0,30.0,25.0,33750.0,15.88,24.0,1406.3,PCS,1039.0,28.19047619047619,17.82026668604892,7020.0,B,58,11856
10000021001,可口可樂纖維+ Can 330ml,40.0,28.0,12.0,13440.0,8.59,24.0,560.0,PCS,1036.0,19.42857142857143,13.52246807565627,1693.0,B,42,29000
10000022001,可口可樂1250ml,37.0,27.0,29.0,28971.0,15.12,12.0,2414.3,PCS,1022.0,5.809523809523809,5.173190965149534,8112.0,B,15,1536
10000023001,百事可樂 - 600ml,43.0,28.0,25.0,30100.0,16.27,24.0,1254.2,PCS,994.0,5.904761904761905,7.549203679228438,6900.0,B,19,12825
10000026001,可口可樂Can 235ml,34.0,22.0,14.0,10472.0,6.62,24.0,436.3,PCS,984.0,195.047619047619,76.87813485671735,1731.0,B,322,38080
10000027001,可口可樂纖維+ Pet 600ml,45.0,30.0,25.0,33750.0,15.41,24.0,1406.3,PCS,926.0,26.66666666666667,19.81245399574049,1655.0,B,60,11856
10001001001,七喜汽水2L,34.0,24.0,31.0,25296.0,13.34,6.0,4216.0,PCS,892.0,7.428571428571429,4.675162334843877,4354.0,A,19,200
10001004001,雪碧汽水2L,34.0,23.0,31.0,24242.0,12.52,6.0,4040.3,PCS,889.0,17.80952380952381,12.83596138829908,1718.0,B,39,200
10001005001,七喜汽水330ml,40.0,27.0,12.0,12960.0,9.11,24.0,540.0,PCS,868.0,20.0,16.79285562374666,1418.0,B,48,30160
10001006001,雪碧汽水330ml,40.0,28.0,12.0,13440.0,8.95,24.0,560.0,PCS,859.0,123.1428571428571,54.81449234854384,1315.0,A,251,29000
10001007001,黑松汽水-600毫升,42.0,28.0,24.0,28224.0,15.97,24.0,1176.0,PCS,803.0,5.714285714285714,7.957027442097062,1174.0,C,16,14000
10001008001,黑松汽水2L,34.0,22.0,31.0,23188.0,13.02,6.0,3864.7,PCS,800.0,0.3333333333333333,1.316561177208767,3318.0,C,3,200
10001009001,黑松沙士245ml,40.0,27.0,10.0,10800.0,6.77,24.0,450.0,PCS,778.0,3.523809523809524,8.576823698893708,4215.0,C,15,36192
10001014001,雪碧易開罐235ml,34.0,22.0,14.0,10472.0,6.55,24.0,436.3,PCS,768.0,64.0,32.49615361854384,1143.0,B,118,38080
10001015001,雪碧汽水600ml,45.0,30.0,24.0,32400.0,15.6,24.0,1350.0,PCS,756.0,14.66666666666667,14.10437284438175,3558.0,B,38,12480
10001020001,黑松CC檸檬氣泡飲can 330ml,41.0,27.0,12.0,13284.0,8.58,24.0,553.5,PCS,755.0,28.85714285714286,14.89391054856217,1182.0,B,54,30160
10001022001,黑松CC檸檬氣泡飲PET 500ml,42.0,28.0,23.0,27048.0,13.81,24.0,1127.0,PCS,735.0,24.76190476190476,16.5707717439616,991.0,B,53,14000
10001035001,黑松CC氣泡飲葡萄 500ml,42.0,28.0,23.0,27048.0,13.682,24.0,1127.0,PCS,710.0,20.19047619047619,13.99863938966587,3273.0,B,44,14000
10001041001,Mountain Dew 激浪汽水 500ml,42.0,28.0,26.0,30576.0,15.55,24.0,1274.0,PCS,709.0,5.333333333333333,6.239658110292048,3777.0,B,16,12600
10001043001,雪碧纖維+ Pet 600ml,45.0,30.0,24.0,32400.0,15.7,24.0,1350.0,PCS,692.0,13.90476190476191,26.30951303598142,1225.0,C,48,12480
10001044001,黑松CC乳酸菌氣泡飲 510ml,40.0,27.0,25.0,27000.0,13.748,24.0,1125.0,PCS,681.0,0.7619047619047619,2.406340830072953,870.0,C,4,14326
10002003001,黑松加鹽沙士600 ml,43.0,28.0,24.0,28896.0,16.03,24.0,1204.0,PCS,680.0,34.09523809523809,20.6540668196478,1005.0,B,69,13500
10002005001,蘋果西打330ml,40.0,27.0,13.0,14040.0,9.56,24.0,585.0,PCS,674.0,88.57142857142857,36.98184882962374,975.0,A,175,27144
10002006001,蘋果西打2L,34.0,23.0,31.0,24242.0,13.37,6.0,4040.3,PCS,672.0,23.47619047619047,10.51008585892165,2996.0,A,48,200
10002007001,芬達橘子汽水330ml,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,PCS,665.0,52.0,26.98888660171071,2838.0,A,115,29000
10002009001,黑松沙士600 ml,43.0,28.0,24.0,28896.0,16.02,24.0,1204.0,PCS,654.0,46.66666666666666,25.56038601690775,4615.0,A,107,13500
10002011001,金車麥根沙士PET585ml,42.0,28.0,24.0,28224.0,15.72,24.0,1176.0,PCS,639.0,2.476190476190476,4.976133515281193,964.0,C,9,14000
10002012001,維他露P 330 ml,41.0,27.0,13.0,14391.0,8.78,24.0,599.6,PCS,621.0,15.42857142857143,16.27443218232645,2652.0,B,43,27144
10002014001,維大力汽水Can330ml,41.0,27.0,13.0,14391.0,9.53,24.0,599.6,PCS,611.0,38.85714285714285,24.34396375754309,2580.0,B,79,27144
10002017001,黑松沙士2L,34.0,22.0,31.0,23188.0,13.03,6.0,3864.7,PCS,582.0,1.19047619047619,3.156248526638034,824.0,C,6,200
10002018001,黑松沙士330ml,41.0,27.0,12.0,13284.0,9.27,24.0,553.5,PCS,570.0,190.2857142857143,85.3423358346506,1626.0,A,389,30160
10002019001,維大力加鹽沙士Can330 ml,41.0,27.0,13.0,14391.0,9.34,24.0,599.6,PCS,563.0,114.2857142857143,59.35077325287588,914.0,B,212,27144
10002025001,黑松沙士1250 ml,38.0,28.0,30.0,31920.0,16.2,12.0,2660.0,PCS,562.0,8.619047619047619,4.934330658520874,970.0,A,21,1440
10002035001,維大力汽水2L,34.0,23.0,31.0,24242.0,13.44,6.0,4040.3,PCS,554.0,10.71428571428571,8.38536139437566,883.0,B,25,200
10002037001,七星藍莓汽泡香檳飲料750ml,35.0,27.0,32.0,30240.0,17.1,12.0,2520.0,PCS,542.0,0.6190476190476191,1.802115159366639,2896.0,C,3,1496
10002038001,七星紅葡萄氣泡香檳飲料750ml,35.0,27.0,32.0,30240.0,17.1,12.0,2520.0,PCS,535.0,1.047619047619048,2.155833724483187,2535.0,C,4,1496
10002039001,七星白葡萄汽泡香檳飲料750 ml,35.0,27.0,32.0,30240.0,17.13,12.0,2520.0,PCS,534.0,0.5714285714285714,2.618614682831909,786.0,C,4,1496
