item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_pod_inventory_level,item_warehouse_inventory_level
0,10000007001,A,1244.0,136,40.0,28.0,12.0,13440.0,8.58,24.0,560.0,0.358,PCS,1,1
1,10001001001,A,892.0,19,34.0,24.0,31.0,25296.0,13.34,6.0,4216.0,2.223,PCS,1,1
2,10001006001,A,859.0,251,40.0,28.0,12.0,13440.0,8.95,24.0,560.0,0.373,PCS,1,1
3,10002005001,A,674.0,175,40.0,27.0,13.0,14040.0,9.56,24.0,585.0,0.398,PCS,1,1
4,10002006001,A,672.0,48,34.0,23.0,31.0,24242.0,13.37,6.0,4040.3,2.228,PCS,1,1
5,10002007001,A,665.0,115,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,0.37,PCS,1,1
6,10002009001,A,654.0,107,43.0,28.0,24.0,28896.0,16.02,24.0,1204.0,0.668,PCS,1,1
7,10002018001,A,570.0,389,41.0,27.0,12.0,13284.0,9.27,24.0,553.5,0.386,PCS,1,1
8,10002045001,A,526.0,32,34.0,22.0,30.0,22440.0,12.96,6.0,3740.0,2.16,PCS,1,1
9,10002071001,A,502.0,82,42.0,28.0,25.0,29400.0,15.95,24.0,1225.0,0.665,PCS,1,1
10,10002102001,A,491.0,226,40.0,27.0,12.0,12960.0,9.0,24.0,540.0,0.375,PCS,1,1
11,10002907001,A,484.0,114,40.0,27.0,12.0,12960.0,8.81,24.0,540.0,0.367,PCS,1,1
12,10010035001,A,414.0,68,34.0,20.0,11.0,7480.0,6.61,24.0,311.7,0.275,PCS,1,1
13,10021016001,A,224.0,92,43.0,29.0,24.0,29928.0,16.27,24.0,1247.0,0.678,PCS,1,1
14,10024007001,A,176.0,89,33.0,16.0,10.0,5280.0,4.4,24.0,220.0,0.183,PCS,1,1
15,10030048001,A,162.0,158,38.0,25.0,24.0,22800.0,14.97,24.0,950.0,0.624,PCS,1,1
16,10031001001,A,161.0,142,35.0,20.0,11.0,7700.0,6.6,24.0,320.8,0.275,PCS,1,1
17,10032010001,A,150.0,107,34.0,20.0,11.0,7480.0,6.68,24.0,311.7,0.278,PCS,1,1
18,10032013001,A,148.0,253,40.0,20.0,14.0,11200.0,9.8,24.0,466.7,0.408,PCS,1,1
19,10033018001,A,134.0,233,37.0,25.0,24.0,22200.0,14.89,24.0,925.0,0.62,PCS,1,1
20,10033025001,A,132.0,153,34.0,20.0,11.0,7480.0,6.45,24.0,311.7,0.269,PCS,1,1
21,10033054001,A,128.0,80,41.0,28.0,24.0,27552.0,15.28,24.0,1148.0,0.637,PCS,1,1
22,10033057001,A,127.0,116,40.0,27.0,23.0,24840.0,17.18,24.0,1035.0,0.716,PCS,1,1
23,10034004001,A,123.0,85,34.0,20.0,11.0,7480.0,6.67,24.0,311.7,0.278,PCS,1,1
24,10034011001,A,122.0,82,34.0,20.0,11.0,7480.0,6.665,24.0,311.7,0.278,PCS,1,1
25,10034019001,A,119.0,102,35.0,20.0,12.0,8400.0,6.66,24.0,350.0,0.278,PCS,1,1
26,10034025001,A,118.0,79,35.0,20.0,11.0,7700.0,6.7,24.0,320.8,0.279,PCS,1,1
27,10035015001,A,112.0,132,41.0,27.0,12.0,13284.0,9.5,24.0,553.5,0.396,PCS,1,1
28,11040009001,A,63.0,31,36.0,25.0,29.0,26100.0,10.3,12.0,2175.0,0.858,PCS,1,1
29,11040035001,A,62.0,35,36.0,26.0,29.0,27144.0,10.2,12.0,2262.0,0.85,PCS,1,1
30,11103136001,A,34.0,52,36.0,25.0,32.0,28800.0,12.4,6.0,4800.0,2.067,PCS,1,1
31,12102140001,A,11.0,18,23.0,23.0,17.0,8993.0,2.55,12.0,749.4,0.212,PCS,1,1
32,14000022001,A,8.0,48,41.0,21.0,13.0,11193.0,0.99,10.0,1119.3,0.099,PCS,1,1
33,14000042001,A,8.0,37,46.0,28.0,14.0,18032.0,2.8,12.0,1502.7,0.233,PCS,1,1
34,14020008001,A,7.0,19,41.0,22.0,26.0,23452.0,0.97,12.0,1954.3,0.081,PCS,1,1
35,14020053001,A,7.0,78,30.0,30.0,23.0,20700.0,2.87,16.0,1293.8,0.179,PCS,1,1
36,14020022001,A,7.0,26,42.0,25.0,27.0,28350.0,1.1,12.0,2362.5,0.092,PCS,1,1
37,14010173001,A,7.0,32,44.0,26.0,23.0,26312.0,1.6,10.0,2631.2,0.16,PCS,1,1
38,14010247001,A,7.0,49,34.0,29.0,16.0,15776.0,2.58,6.0,2629.3,0.43,PCS,1,1
39,14010079001,A,7.0,20,37.0,20.0,28.0,20720.0,1.16,12.0,1726.7,0.097,PCS,1,1
40,14121020001,A,6.0,63,36.0,24.0,18.0,15552.0,1.73,10.0,1555.2,0.173,PCS,1,1
41,14121106001,A,6.0,111,36.0,24.0,18.0,15552.0,1.81,10.0,1555.2,0.181,PCS,1,1
42,14121104001,A,6.0,19,37.0,24.0,24.0,21312.0,3.86,12.0,1776.0,0.322,PCS,1,1
43,14121068001,A,6.0,72,36.0,24.0,18.0,15552.0,1.81,10.0,1555.2,0.181,PCS,1,1
44,14104042001,A,6.0,20,32.0,26.0,23.0,19136.0,2.34,5.0,3827.2,0.468,PCS,1,1
45,14110006001,A,6.0,22,45.0,26.0,21.0,24570.0,2.62,12.0,2047.5,0.218,PCS,1,1
46,14104118001,A,6.0,72,74.0,29.0,23.0,49358.0,5.22,15.0,3290.5,0.348,PCS,1,1
47,14104060001,A,6.0,72,74.0,29.0,23.0,49358.0,5.22,15.0,3290.5,0.348,PCS,1,1
48,14104096001,A,6.0,40,29.0,23.0,21.0,14007.0,2.01,24.0,583.6,0.084,PCS,1,1
49,14204054001,A,5.0,21,40.0,27.0,20.0,21600.0,2.0,20.0,1080.0,0.1,PCS,1,1
50,14204059001,A,5.0,42,41.0,30.0,19.0,23370.0,2.89,12.0,1947.5,0.241,PCS,1,1
