sequence_id,order_id,order_type,item_id,item_quantity,order_arrival
1,-50,1,29,7,0
2,-50,1,114,8,0
3,-49,1,37,12,0
4,-49,1,73,7,0
5,-49,1,71,8,0
6,-49,1,12,7,0
7,-49,1,323,5,0
8,-48,1,280,4,0
9,-48,1,185,6,0
10,-48,1,13,8,0
11,-47,1,21,6,0
12,-47,1,0,2,0
13,-46,1,4,4,0
14,-45,1,377,8,0
15,-45,1,83,6,0
16,-45,1,78,6,0
17,-44,1,40,9,0
18,-44,1,20,10,0
19,-44,1,376,4,0
20,-44,1,84,9,0
21,-44,1,32,8,0
22,-43,1,49,7,0
23,-43,1,114,10,0
24,-42,1,0,8,0
25,-42,1,160,6,0
26,-41,1,7,7,0
27,-41,1,167,2,0
28,-41,1,45,6,0
29,-41,1,40,7,0
30,-41,1,469,2,0
31,-41,1,318,8,0
32,-41,1,180,3,0
33,-41,1,29,10,0
34,-41,1,69,9,0
35,-40,1,110,8,0
36,-40,1,86,8,0
37,-39,1,27,8,0
38,-38,1,4,10,0
39,-38,1,113,9,0
40,-38,1,22,8,0
41,-37,1,20,3,0
42,-37,1,24,8,0
43,-37,1,8,4,0
44,-37,1,32,6,0
45,-37,1,43,10,0
46,-37,1,19,7,0
47,-37,1,7,11,0
48,-37,1,267,7,0
49,-37,1,16,2,0
50,-37,1,28,8,0
51,-37,1,109,1,0
52,-36,1,37,8,0
53,-36,1,12,2,0
54,-36,1,158,12,0
55,-35,1,199,6,0
56,-34,1,18,6,0
57,-34,1,120,7,0
58,-33,1,16,11,0
59,-33,1,19,8,0
60,-32,1,27,6,0
61,-31,1,401,7,0
62,-30,1,109,7,0
63,-30,1,10,5,0
64,-30,1,81,8,0
65,-30,1,130,10,0
66,-29,1,27,10,0
67,-29,1,81,6,0
68,-29,1,36,11,0
69,-29,1,58,6,0
70,-28,1,89,8,0
71,-27,1,494,4,0
72,-27,1,23,7,0
73,-26,1,7,10,0
74,-26,1,54,4,0
75,-26,1,8,5,0
76,-25,1,34,4,0
77,-25,1,173,9,0
78,-24,1,23,8,0
79,-23,1,157,10,0
80,-23,1,18,4,0
81,-23,1,142,12,0
82,-23,1,1,4,0
83,-23,1,77,8,0
84,-23,1,36,7,0
85,-23,1,3,8,0
86,-23,1,25,6,0
87,-23,1,19,3,0
88,-23,1,33,7,0
89,-23,1,2,6,0
90,-23,1,11,8,0
91,-23,1,94,6,0
92,-23,1,32,9,0
93,-23,1,133,2,0
94,-22,1,314,5,0
95,-22,1,0,4,0
96,-22,1,11,8,0
97,-21,1,9,6,0
98,-21,1,11,4,0
99,-21,1,159,6,0
100,-21,1,254,8,0
101,-20,1,4,10,0
102,-20,1,2,1,0
103,-20,1,9,9,0
104,-20,1,76,3,0
105,-20,1,17,8,0
106,-20,1,59,6,0
107,-20,1,12,6,0
108,-19,1,102,10,0
109,-19,1,5,9,0
110,-19,1,16,6,0
111,-19,1,206,6,0
112,-19,1,84,4,0
113,-19,1,19,7,0
114,-19,1,302,4,0
115,-19,1,30,6,0
116,-19,1,78,6,0
117,-18,1,444,5,0
118,-18,1,34,10,0
119,-18,1,80,9,0
120,-17,1,138,12,0
121,-17,1,32,8,0
122,-17,1,248,3,0
123,-17,1,31,6,0
124,-17,1,9,8,0
125,-16,1,9,9,0
126,-16,1,47,12,0
127,-16,1,2,12,0
128,-16,1,118,10,0
129,-16,1,115,10,0
130,-15,1,60,10,0
131,-15,1,55,10,0
132,-14,1,2,8,0
133,-13,1,128,6,0
134,-12,1,43,6,0
135,-12,1,245,4,0
136,-11,1,59,12,0
137,-10,1,29,3,0
138,-10,1,18,6,0
139,-9,1,38,4,0
140,-8,1,4,6,0
141,-8,1,29,8,0
142,-7,1,213,6,0
143,-7,1,13,8,0
144,-7,1,23,10,0
145,-7,1,79,8,0
146,-7,1,4,4,0
147,-7,1,45,1,0
148,-7,1,49,7,0
149,-7,1,134,10,0
150,-6,1,84,4,0
151,-5,1,41,4,0
152,-5,1,108,5,0
153,-4,1,104,4,0
154,-3,1,17,2,0
155,-3,1,197,4,0
156,-2,1,254,5,0
157,-2,1,26,7,0
158,-2,1,15,11,0
159,-2,1,0,9,0
160,-2,1,33,5,0
161,-2,1,3,8,0
162,-2,1,112,4,0
163,-2,1,23,2,0
164,-1,1,113,4,0
165,-1,1,128,6,0
166,-1,1,19,11,0
167,0,1,17,4,360
