item_id,item_code,item_class,item_order_frequency,item_initial_quantity_inventory,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_weight,item_unit,item_pod_inventory_level,item_warehouse_inventory_level
0,10000007001,A,1244.0,136,40.0,28.0,12.0,13440.0,8.58,24.0,560.0,0.358,PCS,0.4,0.4
1,10001001001,A,892.0,19,34.0,24.0,31.0,25296.0,13.34,6.0,4216.0,2.223,PCS,0.4,0.4
2,10001006001,A,859.0,251,40.0,28.0,12.0,13440.0,8.95,24.0,560.0,0.373,PCS,0.4,0.4
3,10002005001,A,674.0,175,40.0,27.0,13.0,14040.0,9.56,24.0,585.0,0.398,PCS,0.4,0.4
4,10002006001,A,672.0,48,34.0,23.0,31.0,24242.0,13.37,6.0,4040.3,2.228,PCS,0.4,0.4
5,10002007001,A,665.0,115,40.0,28.0,12.0,13440.0,8.89,24.0,560.0,0.37,PCS,0.4,0.4
6,10002009001,A,654.0,107,43.0,28.0,24.0,28896.0,16.02,24.0,1204.0,0.668,PCS,0.4,0.4
7,10002018001,A,570.0,389,41.0,27.0,12.0,13284.0,9.27,24.0,553.5,0.386,PCS,0.4,0.4
8,10002045001,A,526.0,32,34.0,22.0,30.0,22440.0,12.96,6.0,3740.0,2.16,PCS,0.4,0.4
9,10002071001,A,502.0,82,42.0,28.0,25.0,29400.0,15.95,24.0,1225.0,0.665,PCS,0.4,0.4
10,10002102001,A,491.0,226,40.0,27.0,12.0,12960.0,9.0,24.0,540.0,0.375,PCS,0.4,0.4
11,10002907001,A,484.0,114,40.0,27.0,12.0,12960.0,8.81,24.0,540.0,0.367,PCS,0.4,0.4
12,10010035001,A,414.0,68,34.0,20.0,11.0,7480.0,6.61,24.0,311.7,0.275,PCS,0.4,0.4
13,10021016001,A,224.0,92,43.0,29.0,24.0,29928.0,16.27,24.0,1247.0,0.678,PCS,0.4,0.4
14,10024007001,A,176.0,89,33.0,16.0,10.0,5280.0,4.4,24.0,220.0,0.183,PCS,0.4,0.4
15,10030048001,A,162.0,158,38.0,25.0,24.0,22800.0,14.97,24.0,950.0,0.624,PCS,0.4,0.4
16,10031001001,A,161.0,142,35.0,20.0,11.0,7700.0,6.6,24.0,320.8,0.275,PCS,0.4,0.4
17,10032010001,A,150.0,107,34.0,20.0,11.0,7480.0,6.68,24.0,311.7,0.278,PCS,0.4,0.4
18,10032013001,A,148.0,253,40.0,20.0,14.0,11200.0,9.8,24.0,466.7,0.408,PCS,0.4,0.4
19,10033018001,A,134.0,233,37.0,25.0,24.0,22200.0,14.89,24.0,925.0,0.62,PCS,0.4,0.4
20,10033025001,A,132.0,153,34.0,20.0,11.0,7480.0,6.45,24.0,311.7,0.269,PCS,0.4,0.4
21,10033054001,A,128.0,80,41.0,28.0,24.0,27552.0,15.28,24.0,1148.0,0.637,PCS,0.4,0.4
22,10033057001,A,127.0,116,40.0,27.0,23.0,24840.0,17.18,24.0,1035.0,0.716,PCS,0.4,0.4
23,10034004001,A,123.0,85,34.0,20.0,11.0,7480.0,6.67,24.0,311.7,0.278,PCS,0.4,0.4
24,10034011001,A,122.0,82,34.0,20.0,11.0,7480.0,6.665,24.0,311.7,0.278,PCS,0.4,0.4
25,10034019001,A,119.0,102,35.0,20.0,12.0,8400.0,6.66,24.0,350.0,0.278,PCS,0.4,0.4
26,10034025001,A,118.0,79,35.0,20.0,11.0,7700.0,6.7,24.0,320.8,0.279,PCS,0.4,0.4
