item_id,current_global_qty,max_global_qty,global_inv_level
3420,72,72,1.0
5041,24,24,1.0
545,72,72,1.0
213,120,120,1.0
922,48,48,1.0
112,240,240,1.0
2989,24,24,1.0
1742,48,48,1.0
250,96,96,1.0
4723,24,24,1.0
653,120,120,1.0
655,40,40,1.0
3309,96,96,1.0
2557,48,48,1.0
66,360,360,1.0
2638,12,12,1.0
3941,20,20,1.0
648,48,48,1.0
4472,36,36,1.0
4034,18,18,1.0
3440,84,84,1.0
4603,12,12,1.0
1345,96,96,1.0
2550,24,24,1.0
4738,24,24,1.0
4584,24,24,1.0
4826,48,48,1.0
2074,16,16,1.0
1746,12,12,1.0
4570,180,180,1.0
207,72,72,1.0
205,16,16,1.0
2623,36,36,1.0
4836,216,216,1.0
3436,192,192,1.0
916,360,360,1.0
3051,24,24,1.0
858,132,132,1.0
59,312,312,1.0
1465,6,6,1.0
3054,84,84,1.0
425,24,24,1.0
214,48,48,1.0
3002,72,72,1.0
149,336,336,1.0
2240,36,36,1.0
1816,48,48,1.0
904,96,96,1.0
4057,60,60,1.0
2808,12,12,1.0
2724,48,48,1.0
49,96,96,1.0
2823,36,36,1.0
116,72,72,1.0
2115,18,18,1.0
4313,20,20,1.0
61,660,660,1.0
3566,216,216,1.0
2780,24,24,1.0
592,60,60,1.0
2687,16,16,1.0
1739,48,48,1.0
3769,40,40,1.0
993,36,36,1.0
212,48,48,1.0
2347,24,24,1.0
909,120,120,1.0
3143,35,35,1.0
861,240,240,1.0
4638,48,48,1.0
3881,144,144,1.0
1037,18,18,1.0
563,60,60,1.0
2525,78,78,1.0
789,45,45,1.0
53,750,750,1.0
1721,6,6,1.0
5043,36,36,1.0
1527,36,36,1.0
1480,48,48,1.0
2602,24,24,1.0
1603,12,12,1.0
643,120,120,1.0
1502,12,12,1.0
388,42,42,1.0
1329,4,4,1.0
929,36,36,1.0
2109,12,12,1.0
610,12,12,1.0
2480,12,12,1.0
2050,60,60,1.0
19,312,312,1.0
3264,216,216,1.0
2547,24,24,1.0
2073,40,40,1.0
323,48,48,1.0
919,192,192,1.0
3113,48,48,1.0
2055,150,150,1.0
1063,192,192,1.0
3180,144,144,1.0
3676,20,20,1.0
2444,18,18,1.0
56,330,330,1.0
3334,324,324,1.0
3422,24,24,1.0
537,72,72,1.0
11,240,240,1.0
4397,48,48,1.0
3863,75,75,1.0
4416,12,12,1.0
4428,12,12,1.0
4396,18,18,1.0
2729,24,24,1.0
381,18,18,1.0
2850,72,72,1.0
4379,126,126,1.0
2467,126,126,1.0
3712,20,20,1.0
295,72,72,1.0
3887,10,10,1.0
4933,24,24,1.0
2975,72,72,1.0
1661,12,12,1.0
2354,6,6,1.0
1454,6,6,1.0
2011,24,24,1.0
249,120,120,1.0
2327,24,24,1.0
1263,24,24,1.0
2076,8,8,1.0
4181,32,32,1.0
2334,12,12,1.0
417,30,30,1.0
3705,24,24,1.0
4537,24,24,1.0
4804,48,48,1.0
1668,12,12,1.0
47,130,130,1.0
935,36,36,1.0
3221,24,24,1.0
2461,24,24,1.0
4550,72,72,1.0
910,96,96,1.0
897,168,168,1.0
194,24,24,1.0
4243,12,12,1.0
87,1152,1152,1.0
987,96,96,1.0
503,72,72,1.0
3313,72,72,1.0
1333,12,12,1.0
2588,104,104,1.0
572,60,60,1.0
1274,48,48,1.0
262,480,480,1.0
78,48,48,1.0
4595,5,5,1.0
4052,48,48,1.0
2854,20,20,1.0
4445,36,36,1.0
1082,36,36,1.0
4236,24,24,1.0
3193,36,36,1.0
1323,72,72,1.0
3467,48,48,1.0
0,384,384,1.0
5013,200,200,1.0
1450,12,12,1.0
91,384,384,1.0
267,96,96,1.0
887,120,120,1.0
1139,240,240,1.0
969,32,32,1.0
695,36,36,1.0
1663,12,12,1.0
2053,6,6,1.0
1660,24,24,1.0
2750,12,12,1.0
666,40,40,1.0
1066,192,192,1.0
578,108,108,1.0
3935,48,48,1.0
4346,378,378,1.0
837,30,30,1.0
3970,12,12,1.0
2029,36,36,1.0
1020,24,24,1.0
538,48,48,1.0
2054,24,24,1.0
265,32,32,1.0
3452,108,108,1.0
1456,12,12,1.0
1975,6,6,1.0
55,210,210,1.0
847,384,384,1.0
4228,24,24,1.0
1968,12,12,1.0
3922,40,40,1.0
2099,12,12,1.0
159,60,60,1.0
3956,12,12,1.0
38,72,72,1.0
1259,48,48,1.0
1100,144,144,1.0
896,64,64,1.0
2435,48,48,1.0
4453,60,60,1.0
850,120,120,1.0
1237,216,216,1.0
4323,80,80,1.0
933,24,24,1.0
277,144,144,1.0
2468,84,84,1.0
3052,144,144,1.0
355,12,12,1.0
4651,40,40,1.0
1224,24,24,1.0
3228,96,96,1.0
1415,40,40,1.0
3994,12,12,1.0
2162,12,12,1.0
4111,24,24,1.0
771,12,12,1.0
459,72,72,1.0
406,30,30,1.0
1971,12,12,1.0
2644,12,12,1.0
685,72,72,1.0
1226,96,96,1.0
1039,60,60,1.0
552,24,24,1.0
3793,40,40,1.0
447,48,48,1.0
1811,60,60,1.0
2763,24,24,1.0
4624,12,12,1.0
3965,12,12,1.0
4875,40,40,1.0
89,336,336,1.0
1611,24,24,1.0
4529,36,36,1.0
2583,28,28,1.0
4217,24,24,1.0
395,12,12,1.0
606,12,12,1.0
774,36,36,1.0
4643,48,48,1.0
492,432,432,1.0
379,24,24,1.0
924,210,210,1.0
4751,48,48,1.0
522,60,60,1.0
834,48,48,1.0
3637,12,12,1.0
872,156,156,1.0
1041,48,48,1.0
1523,24,24,1.0
3882,60,60,1.0
2809,12,12,1.0
4664,48,48,1.0
1583,48,48,1.0
4455,24,24,1.0
1160,144,144,1.0
783,40,40,1.0
1500,12,12,1.0
520,72,72,1.0
4078,10,10,1.0
816,180,180,1.0
1995,12,12,1.0
553,24,24,1.0
3368,72,72,1.0
315,72,72,1.0
2735,12,12,1.0
4973,72,72,1.0
4773,96,96,1.0
825,240,240,1.0
2716,12,12,1.0
1407,16,16,1.0
3555,12,12,1.0
4571,48,48,1.0
3720,80,80,1.0
2888,24,24,1.0
3651,20,20,1.0
1768,24,24,1.0
1299,36,36,1.0
940,288,288,1.0
2976,96,96,1.0
931,72,72,1.0
2656,36,36,1.0
3865,96,96,1.0
5113,6,6,1.0
569,20,20,1.0
3731,90,90,1.0
4429,24,24,1.0
3316,96,96,1.0
793,30,30,1.0
2399,24,24,1.0
3322,144,144,1.0
266,144,144,1.0
2027,10,10,1.0
687,12,12,1.0
1010,64,64,1.0
2828,12,12,1.0
1029,30,30,1.0
2757,24,24,1.0
3421,72,72,1.0
841,60,60,1.0
796,60,60,1.0
540,60,60,1.0
688,12,12,1.0
4080,36,36,1.0
4435,12,12,1.0
2247,18,18,1.0
50,120,120,1.0
829,96,96,1.0
34,60,60,1.0
218,432,432,1.0
2839,48,48,1.0
2018,24,24,1.0
145,192,192,1.0
1095,720,720,1.0
4906,60,60,1.0
1743,42,42,1.0
4131,30,30,1.0
1556,72,72,1.0
3489,24,24,1.0
3821,12,12,1.0
812,18,18,1.0
466,24,24,1.0
4077,45,45,1.0
2188,12,12,1.0
4510,48,48,1.0
4147,36,36,1.0
2398,12,12,1.0
4829,96,96,1.0
614,9,9,1.0
43,60,60,1.0
4807,192,192,1.0
1070,240,240,1.0
2628,72,72,1.0
4792,120,120,1.0
3207,24,24,1.0
2977,48,48,1.0
4479,24,24,1.0
1125,288,288,1.0
270,96,96,1.0
3996,24,24,1.0
4497,12,12,1.0
637,48,48,1.0
588,60,60,1.0
1127,60,60,1.0
5100,12,12,1.0
237,216,216,1.0
1036,24,24,1.0
1594,12,12,1.0
71,240,240,1.0
4067,15,15,1.0
624,56,56,1.0
5035,12,12,1.0
1828,12,12,1.0
3369,144,144,1.0
3148,72,72,1.0
945,96,96,1.0
561,24,24,1.0
1759,24,24,1.0
238,96,96,1.0
30,84,84,1.0
1194,192,192,1.0
799,60,60,1.0
4097,48,48,1.0
3245,36,36,1.0
1016,36,36,1.0
3329,144,144,1.0
527,36,36,1.0
285,144,144,1.0
1481,12,12,1.0
4058,36,36,1.0
2960,60,60,1.0
2533,12,12,1.0
5036,18,18,1.0
1443,6,6,1.0
556,230,230,1.0
4525,72,72,1.0
131,144,144,1.0
1417,2,2,1.0
17,576,576,1.0
400,12,12,1.0
2875,84,84,1.0
4722,36,36,1.0
3671,36,36,1.0
832,32,32,1.0
4063,40,40,1.0
3456,24,24,1.0
3527,24,24,1.0
1740,24,24,1.0
3464,12,12,1.0
195,144,144,1.0
468,24,24,1.0
44,90,90,1.0
2756,24,24,1.0
292,216,216,1.0
2318,54,54,1.0
2281,24,24,1.0
717,48,48,1.0
3714,12,12,1.0
991,30,30,1.0
164,24,24,1.0
1522,24,24,1.0
575,48,48,1.0
2856,48,48,1.0
3343,18,18,1.0
824,96,96,1.0
543,120,120,1.0
2851,36,36,1.0
173,120,120,1.0
1925,18,18,1.0
430,24,24,1.0
1972,12,12,1.0
3178,216,216,1.0
2725,24,24,1.0
1023,36,36,1.0
749,60,60,1.0
3773,40,40,1.0
1246,96,96,1.0
4530,24,24,1.0
1539,12,12,1.0
2971,36,36,1.0
4931,20,20,1.0
566,36,36,1.0
3503,192,192,1.0
1798,96,96,1.0
110,48,48,1.0
1777,48,48,1.0
501,96,96,1.0
2377,12,12,1.0
4278,40,40,1.0
5015,990,990,1.0
859,180,180,1.0
3386,96,96,1.0
3702,24,24,1.0
2973,60,60,1.0
2740,24,24,1.0
2894,24,24,1.0
1612,36,36,1.0
224,432,432,1.0
3875,48,48,1.0
1126,144,144,1.0
106,24,24,1.0
